0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
Andre Sobota,"1,4,5",Verse,Voyager,3 chord,Voyager,Andre Sobota,61,209,
Andreas Schuller,"6,5,1",Chorus,Mobo 2012,3 chord,MOBO 2012,Andreas Schuller,1042,5603,
Andrew Lloyd Webber,"1,5,4",Chorus,Music of the Night,3 chord,Music Of The Night,Andrew Lloyd Webber,8001,34305,"musical, Phantom of the Opera, Soundtrack, showtunes, 4 of 10 stars"
Andrew Lloyd Webber,"6,5,6",Verse,Phantom of the Opera,3 chord,Phantom of the Opera,Andrew Lloyd Webber,7289,31997,"musical, Phantom of the Opera, devious, 131, uten et ord"
Andrew York,"6,3,6",Chorus,Sanzen-In,3 chord,Sanzen-in,Andrew York,12,31,
Andy Akiho,"4,5,4",Verse,Murasaki,3 chord,Murasaki,Andy Akiho,2,15,
Andy Clark,"1,4,1",Chorus,Please Don't Shoot the Trombone Players,3 chord,,,,,
Andy Price,"6,1,4",Bridge,Robin Hood Theme,3 chord,Robin Hood Theme,Andy Price,513,3047,Television Themes
Angel Beats,"4,5,6",Verse and Pre-Chorus,My Soul Your Beats,3 chord,My Soul Your Beats,Angel Beats,263,927,
Angelo Badalamenti,"1,6,4",Chorus,Laura Palmer's Theme,3 chord,Laura Palmer's Theme,Angelo Badalamenti,50819,244760,"Soundtrack, instrumental, ambient, twin peaks, david lynch"
Angus and Julia Stone,"1,6,3",Verse,Big Jet Plane,3 chord,Big Jet Plane,Angus & Julia Stone,390392,3018281,"indie, folk, chillout, beautiful, indie folk"
Animal Collective,"1,4,1",Chorus,Brother Sport,3 chord,Brother Sport,Animal Collective,279341,2276189,"motherfuckin rabbits ejaculating sunshine, the jam of a lifetime, experimental, electronic, indie"
Animal Collective,"4,5,1",Pre-Chorus and Chorus,Leaf House,3 chord,Leaf House,Animal Collective,242583,1607837,"experimental, indie, freak folk, psychedelic, folk"
Animal Collective,"1,5,1",Pre-Chorus,Peacebone,3 chord,Peacebone,Animal Collective,252977,1854191,"experimental, psychedelic, indie, freak folk, Awesome"
Animation Domination High-Def,"1,5,4",Chorus,The Singularity Song,3 chord,THE SINGULARITY SONG,Animation Domination High-Def,2,3,
Animusic,"1,2,4",Chorus,Acoustic Curves,3 chord,Acoustic Curves,Animusic,309,1823,"intrumental, smooth, animusic"
Animusic,"6,3,2",Pre-Chorus,Aqua Harp,3 chord,Aqua Harp,Animusic,501,3543,"animation, Animusic- Aqua Harp"
Animusic,"4,5,6",Solo 2,Future Retro,3 chord,Future Retro,Animusic,408,2102,"electronic, rock, synth"
Animusic,"1,5,4",Chorus,Harmonic Voltage,3 chord,Harmonic Voltage,Animusic,260,1409,my new
Animusic,"1,5,4",Bridge,Heavy Light,3 chord,Heavy Light,Animusic,132,840,
Animusic,"1,2,5",Pre-Outro,Pipe Dream,3 chord,Pipe Dream,Animusic,475,2364,hf314
Animusic,"5,4,1",Chorus,Pogo Sticks,3 chord,Pogo Sticks,Animusic,191,838,"computer, beatmaker"
Animusic,"1,5,4",Chorus,Stick Figures,3 chord,Stick Figures,Animusic,138,826,
Anna Kendrick,"1,4,1",Verse,Cups - Pitch Perfect's 'When I'm Gone',3 chord,,,,,
Anne Murray,"4,5,1",Chorus,Danny's Song,3 chord,Danny's Song,Anne Murray,21429,78022,"country, 70s, Mellow, female vocalists, 123 drippy sappy"
Annie Lennox,"1,5,1",Chorus,Into The West,3 chord,Into the West,Annie Lennox,107924,515024,"Soundtrack, lord of the rings, female vocalists, annie lennox, lotr"
Antonim,"1,5,6",Chorus,Melancholy Soldier,3 chord,,,,,
Antonin Dvorak,"1,6,4",Bridge,Humoresque Op 101 No 7,3 chord,Humoresque op 101 no 7,Antonín Dvořák,104,520,
Aphex Twin,"6,1,4",Verse,Windowlicker,3 chord,Windowlicker,Aphex Twin,287947,1631290,"electronic, idm, electronica, experimental, ambient"
Apollo,"1,4,5",Pre-Chorus,Dance - Re-Con Remix,3 chord,Dance - Re-Con Remix,Apollo,72,168,
Apollo Brown and OC,"6,4,6",Instrumental,Signs,3 chord,signs,apollo brown and OC,1,5,
